DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.47058823529411764,0.4,0.7154050464807437,0.31012992500264075,24.0,27.0,224.0,36.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NONE,0.4126984126984127,0.43333333333333335,0.7234395750332006,0.2805851497084024,26.0,37.0,214.0,34.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,BEST_FIRST,UNDERSAMPLING,NONE,0.46551724137931033,0.45,0.7586321381142098,0.3306880086085141,27.0,31.0,220.0,33.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,NONE,NONE,NONE,0.24154589371980675,0.8333333333333334,0.702855245683931,0.10756568207983228,50.0,157.0,94.0,10.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,NONE,OVERSAMPLING,NONE,0.19269102990033224,0.9666666666666667,0.7004980079681274,-5.777993722997908E-4,58.0,243.0,8.0,2.0
BOOKKEEPER,2,56.44257703081232,NAIVE_BAYES,NONE,UNDERSAMPLING,NONE,0.19078947368421054,0.9666666666666667,0.7173306772908367,-0.0052656274438246066,58.0,246.0,5.0,2.0
BOOKKEEPER,3,66.66666666666667,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.09090909090909091,0.02127659574468085,0.7850720658888126,-0.016266775111834265,1.0,10.0,300.0,46.0
BOOKKEEPER,3,66.66666666666667,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.07692307692307693,0.02127659574468085,0.7523335621139328,-0.025151005050004886,1.0,12.0,298.0,46.0
BOOKKEEPER,3,66.66666666666667,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.15789473684210525,0.06382978723404255,0.6917638984214138,0.01634827332843548,3.0,16.0,294.0,44.0
BOOKKEEPER,3,66.66666666666667,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.07692307692307693,0.02127659574468085,0.7880919698009609,-0.025151005050004886,1.0,12.0,298.0,46.0
BOOKKEEPER,3,66.66666666666667,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NONE,0.1,0.02127659574468085,0.7009608785175017,-0.011644082642073582,1.0,9.0,301.0,46.0
